id,texto,classe
675,"lula diz que senado tem maioridade para resolver seu problema: presidente diz que desgaste mata as pessoas e a instituição. se pmdb e pt tiverem juízo, haverá grande aliança em 2010, disse.",neutro
1733,adolescente é morto por ouvir música alta nos estados unidos. um adolescente de 17 anos foi morto a tiros por um homem que havia reclamado que a vítima e seus amigos estavam ouvindo música muito alto dentro do carro estacionado num posto de gasolina no norte da flórida.,tristeza
1855,"coreia do sul insinua que hackers ligados à coreia do norte atacaram internet: ataques foram direcionados a sites na coreia do sul e nos eua. impacto nos eua foi mínimo, segundo departamento de segurança interna.",neutro
1144,"mamãe foca dá selinho em filhote recém-nascido na bélgica. filhote nasceu no parque de animais marinhos boudewijn, em bruges. mamífero foi batizado de conchita.",alegria
462,"adolescente de 15 anos que estava sumida é achada morta em manaus: segundo a polícia, vítima saiu de casa para ir à escola e não voltou. menina foi encontrada degolada e com sinais de violência sexual.",tristeza
736,"bombeiros localizam corpo de jovem de 18 anos em rio de mato grosso. caso foi registrado no rio teles pires em sinop. de acordo com o corpo de bombeiros, vítima foi arrastada pela correnteza.",tristeza
1060,"médicos tentam explicar origens das cãibras noturnas: episódios são comuns, sobretudo em pessoas mais velhas. múltiplas causas podem estar ligadas ao fenômeno.",surpresa
478,"governo anuncia liberação de r$ 15 bilhões para a agricultura familiar: valor será para a safra 2009/2010, diz ministro do desenvolvimento agrário. deve ser criado também um seguro para investimento.",alegria
611,sindicato cubano celebra 50 anos da revolução no dia do trabalho: foi comemorado o compromisso com o socialismo. o presidente raúl castro comandou o ato principal.,neutro
228,"eclipse ajuda cientistas a identificar assinatura de planetas como a terra: pesquisadores analisaram luz emanada da lua durante eclipse lunar. com isso, descobriram como seria a assinatura da terra, vista de longe.",alegria
1310,"procon-sp multa 20 empresas por descumprir regras de telemarketing: punições totalizam mais de r$ 10 milhões, segundo o órgão. novas regras para sacs entraram em vigor em dezembro.",neutro
1077,criança de 2 anos morre após comer pimenta como castigo nos eua. mulher que seria namorada do pai da menina foi presa. autópsia será realizada para determinar a exata causa da morte.,tristeza
274,candidato reformista do irã apela contra resultado das eleições: mir hosein moussavi entrou com o pedido formal para anular resultado. ele alega que houve fraude na votação que reelegeu ahmadinejad.,desgosto
1539,"libertação de maníaco do anchieta causa revolta em vítimas. “estou com muito medo até de sair de casa. agora, é eu que estou presa e o agressor nas ruas”. essa foi a reação de uma das 16 mulheres que acusam de crime sexual o ex-bancário pedro meyer ferreira guimarães.",medo
276,polícia abre inquérito para investigar depredação de ônibus em maceió. moradores do conjunto aprígio vilela danificaram os veículos. eles reivindicavam transporte na região.,desgosto
493,"acusado de matar menina de 5 anos diz não lembrar onde está o corpo. britânico mark bridger é acusado de assassinar april jones, de 5 anos.",tristeza
707,"australiana acorda na madrugada e acha cobra enrolada no braço da filha. incidente ocorreu em lismore, no estado da nova gales do sul. tess guthrie acordou após ouvir os miados de sua gata de estimação.",medo
110,"empresas de coleta seletiva não vão receber por lixo misturado, diz gdf. cooperativas reclamam que 80% do lixo coletado têm resíduos orgânicos. slu disse que vai confrontar relatório das cooperativas com o de empresas.",neutro
531,"psirico faz show em comemoração a emancipação de cachoeira, na bahia. cidade histórica completou 177 anos de emancipação na quinta-feira (13). programação festiva segue até domingo (16), no recôncavo baiano.",neutro
1822,"‘justiça brasileira existe e se fez valer’, diz protógenes: delegado da pf comentou arquivamento do processo do juiz de sanctis. em festa de 1º de maio, ele disse que está na iminência do desemprego.",neutro
798,"congresso de honduras adia resposta sobre plano para encerrar crise política: setores da sociedade serão consultados antes, diz chefe do parlamento. proposta prevê volta do presidente deposto, anistia e eleições antecipadas.",neutro
1553,"jovens assaltam e agridem moradores em caxias do sul. as primeiras experiências de jovens com o crime estão assustando os moradores de caxias do sul. adolescentes do município da serra gaúcha formam quadrilhas que acabam envolvidas com o consumo de drogas, pichações, assaltos e espancamentos.",medo
905,"metodista, mauá e são judas decidem adiar retorno às aulas: motivo é reduzir a possibilidade de transmissão da nova gripe. instituições de ensino atendem recomendação da secretaria.",surpresa
1891,japão tem em junho a maior taxa de desemprego desde 2003: é o quinto aumento mensal consecutivo. crescimento da taxa é superior à previsão de analistas do mercado.,desgosto
1281,maduro ordena agir em focos de violência e deter quem a financia. anúncio foi feito pela ministra da comunicação no twitter. 25 pessoas já morreram em protestos no país.,medo
1409,incêndio atinge área de preservação no rs: bombeiros demoraram quatro horas para controlar as chamas. vigia diz que fogo começou após passagem de motoqueiros.,desgosto
376,"no recife, bompreço de boa viagem é interditado pela vigilância sanitária. supermercado na av. conselheiro aguiar ficará cinco dias fechado. rm express, em setúbal, foi notificado e teve setores interditados.",desgosto
441,"terremoto de magnitude 6,3 atinge o japão. epicentro lozalizou-se a 13 km ao norte da cidade de kunisaki-shi. até o momento não há informaçõs de possíveis danos ou vítimas.",medo
1988,mulher de 52 anos dá à luz quadrigêmeos em sc: professora e marido procuraram clínica de fertilização. crianças nasceram na sexta e permanecem internadas.,alegria
1158,polícia federal diz que promotor boliviano pediu refúgio ao brasil. documento deverá ser levado a órgão brasileiro que analisará pedido. promotor alega ser perseguido politicamente pelo governo de evo morales.,neutro
1871,"lobo-marinho dança ao som de gaita na baía de paranaguá, no paraná. dentista que seguia de barco para ilha de eufrasina registrou a cena. ele ficou cerca de duas horas brincando e tocando gaita para o animal.",alegria
1142,"combate violento no mali deixa um francês e dezenas de islamitas mortos. ação no sábado foi uma das mais agressivas da operação, diz exército.",tristeza
1104,"9 cidades do am terão recursos para combater dsts e hepatites virais. portaria que autoriza o repasse foi publicada no diário oficial da união. valor anual chega a r$ 2.876.461,0, diz ministério da saúde.",neutro
658,corpo de adolescente de 16 anos é encontrado no leito de rio em teresina. amigos saíram do local ao perceber o afogamento e avisaram familiares. corpo foi encontrado na manhã desta terça-feira (20) no leito do rio.,tristeza
601,"pmdb e pt indicam líderes do governo para cpi da petrobras: romero jucá (pmdb-rr) e ideli salvatti (pt-sc) foram indicados. aloízio mercadante (sp), líder do pt, ficou de fora.",neutro
532,"lula suspende agenda da manhã para receber líderes do governo: presidente cancelou ida a evento da marinha e adiou encontro com serra. ele se reuniu com líderes da câmara e senado, além de temer e múcio.",neutro
1296,"homens arrombam casa e executam casal em itamaraju, diz polícia na ba. crime ocorreu nesta sexta; vítimas foram atingidas por quase 20 disparos. segundo samu, criança estava no local e se escondeu dos criminosos.",medo
1785,"mais de 50 caixas de bebidas são apreendidas em simão pereira, mg. produtos entraram no estado sem recolhimento de icms. segundo prf, soma do imposto e da multa é superior a r$ 16 mil.",neutro
578,"candidatos aprovados em concurso do huufma são convocados. ao todo, foram convocados 280 profissionais. candidatos deverão se apresentar no período de 21 a 23 de maio.",alegria
1903,"após comer biscoitos, consumidora diz ter encontrado larvas em pacote. gabriela silva filmou larvas vivas em bolacha dentro do prazo de validade.",surpresa
562,"chuvas já atingiram cerca de 80 mil pessoas no ceará: do total, 11.383 estão desalojadas e 5.498 estão desabrigadas. chuva danificou 1.543 casas e destruiu 461 em todo o estado.",tristeza
697,"rússia vai replicar qualquer sanção, diz vice-ministro da economia. ele disse esperar que eventuais sanções sejam políticas e não econômicas. união europeia aprovou termos para sanções por crise na ucrânia.",neutro
1055,"confiança do consumidor nos eua tem forte alta em abril: o índice avançou para 65,1 em abril, ante 57,3 em março. esta foi a 1ª alta na comparação ano a ano desde julho de 2007.",neutro
223,"cobra jararaca é encontrada enrolada em carrinho de bebê no paraná. ainda assustada com o incidente, a dona de casa solange fretta disse que acordou, tomou café e ao levar o copo até a lavanderia, se deparou com a serpente.",medo
1942,"bope atuará dentro do complexo do alemão, diz beltrame. o secretário de segurança pública, josé mariano beltrame, anunciou nesta sexta-feira, 14, que vai deslocar para dentro do complexo do alemão a companhia de instrução do batalhão de operações especiais (bope).",neutro
