id,texto
270,"leopardo faminto se dá mal ao atacar porco-espinho na áfrica do sul. cena ocorreu no parque nacional kruger, em joanesburgo. porco-espinho usou defesa natural para afugentar o grande felino."
523,general dissidente sai ileso de atentado suicida na líbia. khalifa haftar foi alvo de ataque; três soldados morreram. benghazi é considerado um reduto de muitas milícias islamitas armadas.
155,"rezem por mim, pede francisco no 1º aniversário de seu papado. papa fez pedido em mensagem publicada em seu twitter. ele está em retiro espiritual em cidade perto de roma."
1294,"rottweiler participa de trabalho de demolição de prédio em sc: animal passou por destroços para transportar cabo de aço. cão da polícia militar, não por acaso, se chama hulk."
1349,"golpe do bilhete premiado leva 4 para a cadeia no pr: foram apreendidos celulares, dinheiro e cartões da mega-sena. polícia continua investigações para descobrir vítimas do grupo."
236,"usp, unicamp e unesp adiam início das aulas por causa da nova gripe: aulas serão retomadas no dia 17 de agosto. escolas públicas também prorrogaram o fim das férias."
1691,"washington post registra perdas de us$ 19,5 milhões no primeiro trimestre: grupo havia registrado lucro de us$ 39,3 milhões no 1º trimestre de 2008. lucros com publicidade caíram 33% em relação ao ano passado."
438,parlamento ucraniano aprova criação de força de defesa. nova guarda nacional será formada por 60 mil voluntários. sua missão será a segurança interna e proteção das fronteiras.
677,explosões em bancos assustam municípios no interior do estado. quadrilhas têm levado medo a populações das regiões sul e sudoeste. só no ano passado foram explodidas 40 agências e 56 arrombadas.
422,"governo da china promete pulso firme contra corrupção e poluição. primeiro-ministro do país, li keqiang, concedeu coletiva nesta quinta-feira. segundo ele, país precisa de medidas mais duras para combater poluição."
605,"chuva causa estragos em pernambuco e em mato grosso do sul: em caruaru, lojas fecharam e parte da vegetação foi arrastada. em campo grande, ventos chegaram a 86 km/h."
1054,motorista de ônibus incendiado que matou crianças na colômbia é detido. veículo pegou fogo na noite deste domingo (18). motorista se entregou e prestará depoimento.
1643,"henry sobe na carreira de perito três meses após ser preso pelo mensalão. ex-deputado também receberá verba retroativa a 1989, quando foi efetivado. henry foi preso e multado em r$ 1,3 milhão no julgamento do mensalão."
1345,"criança nasce dentro de carro da polícia militar em lauro de freitas. segundo pm, mulher foi encontrada caída na rua, em trabalho de parto. caso foi registrado na localidade cají/caixa dágua, no bairro de itinga."
